Product Num,Price,Product Name,Product Type,Size,Use case,Attatchment funfact,Attatchment Copy,Attatchment Instructions
186.png,600,Breeze Wave Whip Curling Mousse,Curling mousse,7.0 fl oz (207 mL),"Defines waves and curls without crunch, providing weightless moisture and conditioning for natural curls, coils, and waves.","✨ Breeze Wave Whip Curling Mousse gives you defined, touchably soft curls and waves—without any crunch—thanks to its unique formula that delivers weightless moisture and conditioning for effortless, natural-looking hair!","Experience the beauty of effortlessly defined, natural curls and waves with Breeze Wave Whip Curling Mousse. This lightweight formula nourishes and conditions your hair without any crunch, leaving it soft, bouncy, and full of radiant shine all day long. Embrace your natural texture with confidence and enjoy a flawless, touchable style every time.","How to Use: The image and text do not provide specific application instructions for the product. Typically, curling mousse is applied to damp hair and distributed evenly before styling, but please refer to the product packaging or insert for exact directions.

Frequency: The frequency of use is not specified in the visible text. Generally, such products can be used as needed when styling hair.

Precautions: No specific warnings or precautions are visible on the provided image or text. It is recommended to check the full product packaging for any important safety information before use."
112.png,300,Nice & Lovely 48H Nourishing Body Lotion,Body lotion,Not specified.,Rejuvenates and nourishes the skin for up to 48 hours,"✨ Did you know? Nice & Lovely 48H Nourishing Body Lotion is powered by rejuvenating milk cream and protein, giving your skin a double boost of nourishment that keeps it soft and radiant for up to 48 hours!","Experience radiant, deeply nourished skin all day with Nice & Lovely 48H Nourishing Body Lotion. Enriched with revitalizing milk cream and protein, it transforms your skin’s texture, leaving it irresistibly smooth and glowing—without any greasy or sticky feel. Trust Kenya’s #1 body lotion to boost your confidence and keep your skin refreshed from morning to night.","How to Use: Dispense a small amount onto the hands and massage gently into clean, dry skin until fully absorbed.

Frequency: Use once every 1-2 days, or as needed.

Precautions: Avoid contact with eyes and do not apply to broken or irritated skin."
256.png,300,Himalaya Ophtha Care,Eye drops,10 ml,"Relieves eye strain, redness, and dryness for individuals experiencing these symptoms.","✨ Did you know? Himalaya Ophtha Care® Eye Drops have been trusted since 1930 to soothe tired eyes, making them a heritage favorite for relieving eye strain, redness, and dryness!","Experience the soothing power of Himalaya Ophtha Care Eye Drops, your go-to solution for instant relief from tired, strained eyes. Say goodbye to redness and dryness as these drops refresh and revitalize, leaving your eyes feeling comfortable and clear—perfect for busy days and screen time. Give your eyes the care they deserve and face every day with renewed clarity and comfort.","How to Use: The image does not provide specific application instructions for the eye drops.
Frequency: The image does not specify how often the product should be used.
Precautions: The image does not list any warnings or precautions."
82.png,330,DR. DAVEY Black Soap (Collagen & Charcoals Soap),Soap (Cleanser),100g,Tightening pores,"✨ Did you know? Dr. Davey Black Soap harnesses the power of charcoal to deeply cleanse and control oil, while collagen works to tighten pores—giving your skin a fresh, youthful glow in one easy step!","Discover the rejuvenating power of Dr. Davey Black Soap, designed to deeply cleanse and purify your skin while tightening pores and controlling oil. Infused with collagen and charcoal, it brightens your complexion, revealing a clearer, healthier, and radiant glow you'll love every day. Transform your skincare routine and experience the confidence of beautifully balanced skin.","How to Use: The packaging does not provide specific application instructions for the soap.

Frequency: The packaging does not specify how often to use the product.

Precautions: There are no explicit warnings or precautions visible on the packaging in the provided image.

Note: For complete instructions and precautions, refer to the leaflet inside the box or the manufacturer's website."
16.png,600,sublime SHOWER GEL Relaxing Lavender,Shower gel,Not specified.,"A relaxing lavender-scented shower gel for cleansing and soothing the skin, suitable for anyone seeking a calming bathing experience.","✨ Lavender, the star ingredient in this Sublime Shower Gel, has been cherished for centuries for its calming aroma—turning your daily shower into a soothing mini aromatherapy session!","Experience the ultimate relaxation with Sublime Shower Gel infused with soothing lavender, transforming your daily shower into a calming escape. Its nourishing formula not only melts away stress but also leaves your skin irresistibly soft, hydrated, and revitalized—indulge in a spa-like treat every time you wash.","How to Use: Dispense the gel onto your hand or a sponge, lather, and rinse off during a shower.
Frequency: Can be used daily as part of your regular bathing routine.
Precautions: Avoid contact with eyes and discontinue use if irritation occurs."
368.png,180,Bright Berries,Eau de Toilette (fragrance),1.17 FL.OZ.,"A fragrance product designed for individuals seeking a bright, berry-inspired scent.",Insufficient information available.,"Bright Berries invigorates your senses with a fresh, fruity burst that lifts your spirit and boosts your confidence all day long. This enchanting eau de toilette adds a vibrant, uplifting glow to your presence, making every moment feel brighter and more captivating. Embrace the energy and let your true radiance shine through.","How to Use: Not provided in the document.  
Frequency: Not provided in the document.  
Precautions: Not provided in the document."
203.png,360,Venus Skin Care Smoothing Body Lotion,Body lotion,Not specified.,"A body lotion with Vitamin E designed to smooth and nourish the skin, suitable for anyone seeking softer skin.","✨ Did you know? Venus Smoothing Body Lotion is packed with Vitamin E, a superstar antioxidant that not only deeply hydrates but also shields your skin from environmental stressors, giving you irresistibly smooth and radiant skin!","Indulge your skin with Venus Smoothing Body Lotion, enriched with Vitamin E to deeply nourish and revitalize. This lightweight formula effortlessly glides on, leaving your skin irresistibly soft, radiant, and beautifully hydrated all day long—experience the ultimate glow and confidence in every touch.","How to Use: Dispense a small amount onto the skin and gently massage until fully absorbed.
Frequency: Can be used daily or as needed for skin hydration.
Precautions: Avoid contact with eyes and discontinue use if irritation occurs."
394.png,2600,I'm from Rice Sunscreen,Sunscreen,50ml (1.69 fl. oz.),Provides sun protection for individuals seeking skincare with rice-derived ingredients.,"✨ This sunscreen is crafted with rice from Yeoju, Korea—a region renowned for its premium rice that's been treasured in Korean beauty rituals for centuries for its natural brightening and soothing powers!","Experience the ultimate skin protection with I'm From Rice Sunscreen, a lightweight shield that not only guards against harmful UV rays but also deeply hydrates and brightens your complexion. Infused with nourishing rice essence from Yeoju, Korea, it leaves your skin irresistibly soft, smooth, and radiant all day long—perfect for a natural, glowing look you’ll love to show off.","How to Use: Not available from the provided file.  
Frequency: Not available from the provided file.  
Precautions: Not available from the provided file."
334.png,300,DR.RASHEL Whitening Day Cream,Fairness Cream,Not specified.,"A day cream with arbutin and niacinamide designed to reduce pigmentation, provide 24-hour moisturization, and even skin tone for individuals seeking skin whitening and sun protection (SPF20).","✨ Did you know? This cream contains arbutin, a natural ingredient from bearberry plants, renowned for its gentle ability to brighten skin and fade pigmentation for a beautifully even complexion!","Reveal your skin’s natural glow with Dr. Rashel Whitening Day Cream, designed to visibly reduce pigmentation and even out your complexion. Infused with potent Arbutin and Niacinamide, this lightweight formula hydrates for 24 hours and shields your skin with SPF 20, leaving you with a brighter, smoother, and youthful radiance every day.","How to Use: The image and text do not provide specific application instructions for this product.

Frequency: The product is labeled as a ""Day Cream,"" which suggests it is intended for daily use in the morning.

Precautions: There are no specific warnings or precautions visible in the provided image or text."
242.png,650,L'Oréal Paris Elvive Óleo Extraordinario,Conditioner,370 ml.,"Provides nutrition, shine, and softness for dry hair.","✨ This luxurious conditioner is infused with 6 precious flower oils, transforming every wash into a nourishing floral ritual that leaves dry hair deeply nourished, shiny, and irresistibly soft!","Transform dry, dull hair into a radiant, silky masterpiece with L'Oréal Paris Elvive Óleo Extraordinario Conditioner. Infused with six precious flower oils, it deeply hydrates and delivers intense shine, leaving your hair irresistibly soft, smooth, and vibrant every day. Experience the luxury of salon-quality hair care that brings out your hair’s natural beauty and brilliance.","How to Use: Apply to wet hair after shampooing, focusing on the lengths and ends, then rinse out.

Frequency: Use every time you wash your hair, which can range from daily to a few times a week depending on hair type and routine.

Precautions: No specific warnings or precautions are visible on the product label in the provided image. For detailed precautions, check the back of the product or accompanying leaflet."
